country,code,year,cost.export
Aruba,ABW,2013,
Andorra,AND,2013,
Afghanistan,AFG,2013,4645
Angola,AGO,2013,2060
Albania,ALB,2013,745
Arab World,ARB,2013,1213.190476
United Arab Emirates,ARE,2013,655
Argentina,ARG,2013,1650
Armenia,ARM,2013,1885
American Samoa,ASM,2013,
Antigua and Barbuda,ATG,2013,1090
Australia,AUS,2013,1150
Austria,AUT,2013,1090
Azerbaijan,AZE,2013,3540
Burundi,BDI,2013,2905
Belgium,BEL,2013,1240
Benin,BEN,2013,1052
Burkina Faso,BFA,2013,2455
Bangladesh,BGD,2013,1203
Bulgaria,BGR,2013,1375
Bahrain,BHR,2013,810
"Bahamas, The",BHS,2013,1005
Bosnia and Herzegovina,BIH,2013,1260
Belarus,BLR,2013,1460
Belize,BLZ,2013,1355
Bermuda,BMU,2013,
Bolivia,BOL,2013,1440
Brazil,BRA,2013,2414.3
Barbados,BRB,2013,810
Brunei Darussalam,BRN,2013,705
Bhutan,BTN,2013,2230
Botswana,BWA,2013,3045
Central African Republic,CAF,2013,5490
Canada,CAN,2013,1680
Central Europe and the Baltics,CEB,2013,1064.090909
Switzerland,CHE,2013,1660
Channel Islands,CHI,2013,
Chile,CHL,2013,980
China,CHN,2013,823
Cote d'Ivoire,CIV,2013,1740
Cameroon,CMR,2013,1379
"Congo, Rep.",COG,2013,3795
Colombia,COL,2013,2355
Comoros,COM,2013,1295
Cabo Verde,CPV,2013,1125
Costa Rica,CRI,2013,1020
Caribbean small states,CSS,2013,998.3076923
Cuba,CUB,2013,
Curacao,CUW,2013,
Cayman Islands,CYM,2013,
Cyprus,CYP,2013,865
Czech Republic,CZE,2013,1215
Germany,DEU,2013,905
Djibouti,DJI,2013,885
Dominica,DMA,2013,990
Denmark,DNK,2013,795
Dominican Republic,DOM,2013,1040
Algeria,DZA,2013,1270
East Asia & Pacific (developing only),EAP,2013,896.2952381
East Asia & Pacific (all income levels),EAS,2013,853.5
Europe & Central Asia (developing only),ECA,2013,2336.3
Europe & Central Asia (all income levels),ECS,2013,1627.520408
Ecuador,ECU,2013,1535
"Egypt, Arab Rep.",EGY,2013,625
Euro area,EMU,2013,1005.263158
Eritrea,ERI,2013,1850
Spain,ESP,2013,1310
Estonia,EST,2013,765
Ethiopia,ETH,2013,2180
European Union,EUU,2013,1034.642857
Fragile and conflict affected situations,FCS,2013,2108.806452
Finland,FIN,2013,615
Fiji,FJI,2013,790
France,FRA,2013,1335
Faeroe Islands,FRO,2013,
"Micronesia, Fed. Sts.",FSM,2013,1045
Gabon,GAB,2013,2045
United Kingdom,GBR,2013,1005
Georgia,GEO,2013,1355
Ghana,GHA,2013,875
Guinea,GIN,2013,915
"Gambia, The",GMB,2013,1040
Guinea-Bissau,GNB,2013,1448
Equatorial Guinea,GNQ,2013,1390
Greece,GRC,2013,1040
Grenada,GRD,2013,1300
Greenland,GRL,2013,
Guatemala,GTM,2013,1435
Guam,GUM,2013,
Guyana,GUY,2013,730
High income,HIC,2013,1033.853571
"Hong Kong SAR, China",HKG,2013,590
Honduras,HND,2013,1345
Heavily indebted poor countries (HIPC),HPC,2013,2126.947368
Croatia,HRV,2013,1335
