country,code,year,cost.import
Aruba,ABW,2013,
Andorra,AND,2013,
Afghanistan,AFG,2013,5180
Angola,AGO,2013,2725
Albania,ALB,2013,730
Arab World,ARB,2013,1368.190476
United Arab Emirates,ARE,2013,615
Argentina,ARG,2013,2260
Armenia,ARM,2013,2175
American Samoa,ASM,2013,
Antigua and Barbuda,ATG,2013,1520
Australia,AUS,2013,1170
Austria,AUT,2013,1155
Azerbaijan,AZE,2013,3560
Burundi,BDI,2013,4420
Belgium,BEL,2013,1400
Benin,BEN,2013,1520
Burkina Faso,BFA,2013,4530
Bangladesh,BGD,2013,1437
Bulgaria,BGR,2013,1365
Bahrain,BHR,2013,870
"Bahamas, The",BHS,2013,1770
Bosnia and Herzegovina,BIH,2013,1200
Belarus,BLR,2013,2265
Belize,BLZ,2013,1580
Bermuda,BMU,2013,
Bolivia,BOL,2013,1745
Brazil,BRA,2013,2414.3
Barbados,BRB,2013,1615
Brunei Darussalam,BRN,2013,770
Bhutan,BTN,2013,2330
Botswana,BWA,2013,3610
Central African Republic,CAF,2013,5735
Canada,CAN,2013,1680
Central Europe and the Baltics,CEB,2013,1073.727273
Switzerland,CHE,2013,1440
Channel Islands,CHI,2013,
Chile,CHL,2013,930
China,CHN,2013,800
Cote d'Ivoire,CIV,2013,2360
Cameroon,CMR,2013,2267
"Congo, Rep.",COG,2013,7590
Colombia,COL,2013,2470
Comoros,COM,2013,1295
Cabo Verde,CPV,2013,925
Costa Rica,CRI,2013,1070
Caribbean small states,CSS,2013,1685.769231
Cuba,CUB,2013,
Curacao,CUW,2013,
Cayman Islands,CYM,2013,
Cyprus,CYP,2013,1010
Czech Republic,CZE,2013,1190
Germany,DEU,2013,940
Djibouti,DJI,2013,910
Dominica,DMA,2013,1600
Denmark,DNK,2013,745
Dominican Republic,DOM,2013,1145
Algeria,DZA,2013,1330
East Asia & Pacific (developing only),EAP,2013,926.8952381
East Asia & Pacific (all income levels),EAS,2013,885.2103448
Europe & Central Asia (developing only),ECA,2013,2619.6
Europe & Central Asia (all income levels),ECS,2013,1759.357143
Ecuador,ECU,2013,1520
"Egypt, Arab Rep.",EGY,2013,790
Euro area,EMU,2013,1069.578947
Eritrea,ERI,2013,2000
Spain,ESP,2013,1350
Estonia,EST,2013,795
Ethiopia,ETH,2013,2760
European Union,EUU,2013,1069.892857
Fragile and conflict affected situations,FCS,2013,2672.774194
Finland,FIN,2013,625
Fiji,FJI,2013,753
France,FRA,2013,1445
Faeroe Islands,FRO,2013,
"Micronesia, Fed. Sts.",FSM,2013,1045
Gabon,GAB,2013,2175
United Kingdom,GBR,2013,1050
Georgia,GEO,2013,1595
Ghana,GHA,2013,1360
Guinea,GIN,2013,1480
"Gambia, The",GMB,2013,745
Guinea-Bissau,GNB,2013,2006
Equatorial Guinea,GNQ,2013,1600
Greece,GRC,2013,1135
Grenada,GRD,2013,2235
Greenland,GRL,2013,
Guatemala,GTM,2013,1500
Guam,GUM,2013,
Guyana,GUY,2013,720
High income,HIC,2013,1148.353571
"Hong Kong SAR, China",HKG,2013,565
Honduras,HND,2013,1500
Heavily indebted poor countries (HIPC),HPC,2013,2825.868421
