Country Name,Country Code,Year,Exports
Aruba,ABW,2012,
Andorra,AND,2012,
Afghanistan,AFG,2012,5.516850325
Angola,AGO,2012,61.94071287
Albania,ALB,2012,33.28476182
Arab World,ARB,2012,56.36116862
United Arab Emirates,ARE,2012,97.91497693
Argentina,ARG,2012,15.79885439
Armenia,ARM,2012,24.57492173
American Samoa,ASM,2012,
Antigua and Barbuda,ATG,2012,44.95258653
Australia,AUS,2012,21.32264984
Austria,AUT,2012,53.59086008
Azerbaijan,AZE,2012,53.70923234
Burundi,BDI,2012,8.950128922
Belgium,BEL,2012,82.23138804
Benin,BEN,2012,15.29732537
Burkina Faso,BFA,2012,26.29414629
Bangladesh,BGD,2012,20.16158961
Bulgaria,BGR,2012,64.60203385
Bahrain,BHR,2012,74.30370541
"Bahamas, The",BHS,2012,45.44056455
Bosnia and Herzegovina,BIH,2012,30.87161185
Belarus,BLR,2012,81.34081762
Belize,BLZ,2012,62.45286054
Bermuda,BMU,2012,
Bolivia,BOL,2012,47.25235921
Brazil,BRA,2012,12.58720783
Barbados,BRB,2012,42.48198161
Brunei Darussalam,BRN,2012,81.36520479
Bhutan,BTN,2012,38.72533426
Botswana,BWA,2012,43.47916472
Central African Republic,CAF,2012,11.64915581
Canada,CAN,2012,30.03444568
Central Europe and the Baltics,CEB,2012,61.39537509
Switzerland,CHE,2012,67.05469364
Channel Islands,CHI,2012,
Chile,CHL,2012,34.23966761
China,CHN,2012,27.32067953
Cote d'Ivoire,CIV,2012,48.37232509
Cameroon,CMR,2012,18.7951536
"Congo, Rep.",COG,2012,83.77514629
Colombia,COL,2012,18.25796727
Comoros,COM,2012,16.14770001
Cabo Verde,CPV,2012,34.92343621
Costa Rica,CRI,2012,37.20208011
Caribbean small states,CSS,2012,44.59831841
Cuba,CUB,2012,
Curacao,CUW,2012,
Cayman Islands,CYM,2012,
Cyprus,CYP,2012,
Czech Republic,CZE,2012,76.5257092
Germany,DEU,2012,45.92428816
Djibouti,DJI,2012,
Dominica,DMA,2012,31.15107914
Denmark,DNK,2012,53.96894865
Dominican Republic,DOM,2012,24.31117817
Algeria,DZA,2012,37.74416694
East Asia & Pacific (developing only),EAP,2012,33.49196176
East Asia & Pacific (all income levels),EAS,2012,32.51376049
Europe & Central Asia (developing only),ECA,2012,41.72733378
