Country Name,year,FDI
Aruba,2012,
Andorra,2012,
Afghanistan,2012,1502254.92
Angola,2012,9722100376
Albania,2012,168877115.1
Arab World,2012,
United Arab Emirates,2012,
Argentina,2012,10235854136
Armenia,2012,334890199.7
American Samoa,2012,
Antigua and Barbuda,2012,
Australia,2012,
Austria,2012,
Azerbaijan,2012,4906186000
Burundi,2012,0
Belgium,2012,
Benin,2012,0
Burkina Faso,2012,0
Bangladesh,2012,1788653302
Bulgaria,2012,1875925988
Bahrain,2012,
"Bahamas, The",2012,
Bosnia and Herzegovina,2012,205226342.3
Belarus,2012,1257600000
Belize,2012,68175437.02
Bermuda,2012,
Bolivia,2012,1648979576
Brazil,2012,24563733909
Barbados,2012,
Brunei Darussalam,2012,
Bhutan,2012,1649444.436
Botswana,2012,115855555.2
Central African Republic,2012,0
Canada,2012,
Central Europe and the Baltics,2012,
Switzerland,2012,
Channel Islands,2012,
Chile,2012,
China,2012,1.71845E+11
Cote d'Ivoire,2012,0
Cameroon,2012,503424758.3
"Congo, Rep.",2012,0
Colombia,2012,14959068113
Comoros,2012,0
Cabo Verde,2012,22833719.38
Costa Rica,2012,608780183.2
Caribbean small states,2012,
Cuba,2012,
Curacao,2012,
Cayman Islands,2012,
Cyprus,2012,
Czech Republic,2012,
Germany,2012,
Djibouti,2012,7247314.611
Dominica,2012,5110659.259
Denmark,2012,
Dominican Republic,2012,1972300000
Algeria,2012,7452942944
East Asia & Pacific (developing only),2012,2.36368E+11
East Asia & Pacific (all income levels),2012,
Europe & Central Asia (developing only),2012,59691931715
Europe & Central Asia (all income levels),2012,
Ecuador,2012,675539367.3
"Egypt, Arab Rep.",2012,5703900000
Euro area,2012,
Eritrea,2012,0
Spain,2012,
Estonia,2012,
Ethiopia,2012,5905498.308
European Union,2012,
Fragile and conflict affected situations,2012,
Finland,2012,
Fiji,2012,172687697.5
France,2012,
Faeroe Islands,2012,
"Micronesia, Fed. Sts.",2012,
Gabon,2012,0
United Kingdom,2012,
Georgia,2012,747230586.6
Ghana,2012,1914530000
Guinea,2012,38950000
"Gambia, The",2012,10247102.81
Guinea-Bissau,2012,0
Equatorial Guinea,2012,
Greece,2012,
Grenada,2012,18787764.44
Greenland,2012,
Guatemala,2012,1111938488
Guam,2012,
Guyana,2012,9850000
High income,2012,
"Hong Kong SAR, China",2012,
Honduras,2012,1220304818
Heavily indebted poor countries (HIPC),2012,
Croatia,2012,
Haiti,2012,0
Hungary,2012,15128226368
Indonesia,2012,17366189098
Isle of Man,2012,
India,2012,16389049089
Not classified,2012,
Ireland,2012,
"Iran, Islamic Rep.",2012,0
Iraq,2012,
Iceland,2012,
Israel,2012,
Italy,2012,
Jamaica,2012,135503171
Jordan,2012,820704225.4
Japan,2012,
Kazakhstan,2012,24739809593
Kenya,2012,110913452.9
Kyrgyz Republic,2012,110806300
Cambodia,2012,616881719.8
Kiribati,2012,
St. Kitts and Nevis,2012,
"Korea, Rep.",2012,
Kosovo,2012,64580105.19
Kuwait,2012,
Latin America & Caribbean (developing only),2012,95247869178
Lao PDR,2012,51998093.86
Lebanon,2012,212939677.1
Liberia,2012,0
Libya,2012,
St. Lucia,2012,23324112.59
Latin America & Caribbean (all income levels),2012,
Least developed countries: UN classification,2012,
Low income,2012,3436762501
Liechtenstein,2012,
Sri Lanka,2012,449338439.4
Lower middle income,2012,89893756478
Low & middle income,2012,4.79304E+11
Lesotho,2012,406794016
Lithuania,2012,
Luxembourg,2012,
Latvia,2012,
"Macao SAR, China",2012,
St. Martin (French part),2012,
Morocco,2012,2092146248
Monaco,2012,
Moldova,2012,117990000
Madagascar,2012,0
Maldives,2012,281004231.8
Middle East & North Africa (all income levels),2012,
Mexico,2012,16408131990
Marshall Islands,2012,
Middle income,2012,4.75867E+11
"Macedonia, FYR",2012,267640449.2
Mali,2012,0
Malta,2012,
Myanmar,2012,0
Middle East & North Africa (developing only),2012,18968578310
Montenegro,2012,32505469.1
Mongolia,2012,594092595.9
Northern Mariana Islands,2012,
Mozambique,2012,53798862.96
Mauritania,2012,0
Mauritius,2012,1074229203
Malawi,2012,92502129.11
Malaysia,2012,18384561069
North America,2012,
Namibia,2012,
New Caledonia,2012,
Niger,2012,0
Nigeria,2012,22429824487
Nicaragua,2012,157000000
Netherlands,2012,
High income: nonOECD,2012,
Norway,2012,
Nepal,2012,33892423.07
New Zealand,2012,
High income: OECD,2012,
OECD members,2012,
Oman,2012,
Other small states,2012,
Pakistan,2012,2372100000
Panama,2012,2538400000
Peru,2012,11747671905
Philippines,2012,3954656260
Palau,2012,
Papua New Guinea,2012,588439026.4
Poland,2012,
Puerto Rico,2012,
"Korea, Dem. Rep.",2012,
Portugal,2012,
Paraguay,2012,799500000
Pacific island small states,2012,
French Polynesia,2012,
Qatar,2012,
Romania,2012,1687000000
Russian Federation,2012,
Rwanda,2012,860000
South Asia,2012,21317189185
Saudi Arabia,2012,
Sudan,2012,529085182.8
Senegal,2012,0
Singapore,2012,
Solomon Islands,2012,84242372.09
Sierra Leone,2012,130485196.4
El Salvador,2012,577358046.8
San Marino,2012,
Somalia,2012,0
Serbia,2012,602401299.6
Sub-Saharan Africa (developing only),2012,47710602102
South Sudan,2012,
Sub-Saharan Africa (all income levels),2012,
Small states,2012,
Sao Tome and Principe,2012,0
Suriname,2012,
Slovak Republic,2012,
Slovenia,2012,
Sweden,2012,
Swaziland,2012,466067554.5
Sint Maarten (Dutch part),2012,
Seychelles,2012,44535166.22
Syrian Arab Republic,2012,0
Turks and Caicos Islands,2012,
Chad,2012,0
Togo,2012,0
Thailand,2012,22595943527
Tajikistan,2012,33035900
Turkmenistan,2012,0
Timor-Leste,2012,
Tonga,2012,628722.0814
Trinidad and Tobago,2012,
Tunisia,2012,1533332978
Turkey,2012,2637000000
Tuvalu,2012,
Tanzania,2012,267513826.8
Uganda,2012,251620832
Ukraine,2012,4775000000
Upper middle income,2012,3.85974E+11
Uruguay,2012,
United States,2012,
Uzbekistan,2012,0
St. Vincent and the Grenadines,2012,5557502.222
"Venezuela, RB",2012,5757000000
Virgin Islands (U.S.),2012,
Vietnam,2012,0
Vanuatu,2012,76814577.36
West Bank and Gaza,2012,
World,2012,
Samoa,2012,35952900.75
"Yemen, Rep.",2012,1145364923
South Africa,2012,8485936925
"Congo, Dem. Rep.",2012,0
Zambia,2012,1032588257
Zimbabwe,2012,0
