country,code,year,GDP
Aruba,ABW,2012,
Andorra,AND,2012,
Afghanistan,AFG,2012,20506795254
Angola,AGO,2012,1.15E+11
Albania,ALB,2012,12344529628
Arab World,ARB,2012,2.74E+12
United Arab Emirates,ARE,2012,3.72E+11
Argentina,ARG,2012,6.03E+11
Armenia,ARM,2012,9958217880
American Samoa,ASM,2012,
Antigua and Barbuda,ATG,2012,1204713111
Australia,AUS,2012,1.53E+12
Austria,AUT,2012,4.08E+11
Azerbaijan,AZE,2012,68730906314
Burundi,BDI,2012,2472384864
Belgium,BEL,2012,4.99E+11
Benin,BEN,2012,7543183759
Burkina Faso,BFA,2012,11611888158
Bangladesh,BGD,2012,1.33E+11
Bulgaria,BGR,2012,52588115104
Bahrain,BHR,2012,30756789966
"Bahamas, The",BHS,2012,8219000000
Bosnia and Herzegovina,BIH,2012,16906005781
Belarus,BLR,2012,63615445567
Belize,BLZ,2012,1573867300
Bermuda,BMU,2012,5473536000
Bolivia,BOL,2012,27035110130
Brazil,BRA,2012,2.25E+12
Barbados,BRB,2012,4224850000
Brunei Darussalam,BRN,2012,16953952625
Bhutan,BTN,2012,1823692110
Botswana,BWA,2012,14537486274
Central African Republic,CAF,2012,2169706411
Canada,CAN,2012,1.82E+12
Central Europe and the Baltics,CEB,2012,1.34E+12
Switzerland,CHE,2012,6.66E+11
Channel Islands,CHI,2012,
Chile,CHL,2012,2.66E+11
China,CHN,2012,8.23E+12
Cote d'Ivoire,CIV,2012,27098590232
Cameroon,CMR,2012,26472054176
"Congo, Rep.",COG,2012,13677929162
Colombia,COL,2012,3.70E+11
Comoros,COM,2012,550476499.2
Cabo Verde,CPV,2012,1757304419
Costa Rica,CRI,2012,45374788701
Caribbean small states,CSS,2012,65360347414
Cuba,CUB,2012,
Curacao,CUW,2012,
Cayman Islands,CYM,2012,
Cyprus,CYP,2012,22766912960
Czech Republic,CZE,2012,2.07E+11
Germany,DEU,2012,3.53E+12
Djibouti,DJI,2012,1353632942
Dominica,DMA,2012,514814814.8
Denmark,DNK,2012,3.22E+11
Dominican Republic,DOM,2012,60331668443
Algeria,DZA,2012,2.04E+11
East Asia & Pacific (developing only),EAP,2012,1.03E+13
East Asia & Pacific (all income levels),EAS,2012,2.03E+13
Europe & Central Asia (developing only),ECA,2012,1.87E+12
