country,code,year,GDP.growth
Aruba,ABW,2013,
Andorra,AND,2013,
Afghanistan,AFG,2013,1.934142828
Angola,AGO,2013,6.800058482
Albania,ALB,2013,1.417423278
Arab World,ARB,2013,3.352135982
United Arab Emirates,ARE,2013,5.199979874
Argentina,ARG,2013,2.925272527
Armenia,ARM,2013,3.499999997
American Samoa,ASM,2013,
Antigua and Barbuda,ATG,2013,-0.071363851
Australia,AUS,2013,2.511938261
Austria,AUT,2013,0.228020374
Azerbaijan,AZE,2013,5.796678396
Burundi,BDI,2013,4.594054218
Belgium,BEL,2013,0.274845628
Benin,BEN,2013,5.640149161
Burkina Faso,BFA,2013,6.647165888
Bangladesh,BGD,2013,6.013610592
Bulgaria,BGR,2013,1.065863747
Bahrain,BHR,2013,5.337538507
"Bahamas, The",BHS,2013,0.667447949
Bosnia and Herzegovina,BIH,2013,2.480000042
Belarus,BLR,2013,0.894547993
Belize,BLZ,2013,1.525675273
Bermuda,BMU,2013,
Bolivia,BOL,2013,6.775601009
Brazil,BRA,2013,2.492011803
Barbados,BRB,2013,
Brunei Darussalam,BRN,2013,-1.751960547
Bhutan,BTN,2013,2.044541095
Botswana,BWA,2013,5.827030816
Central African Republic,CAF,2013,-35.99996656
Canada,CAN,2013,2.022016675
Central Europe and the Baltics,CEB,2013,1.344004128
Switzerland,CHE,2013,1.915613626
Channel Islands,CHI,2013,
Chile,CHL,2013,4.074713728
China,CHN,2013,7.67119069
Cote d'Ivoire,CIV,2013,8.700777449
Cameroon,CMR,2013,5.561688129
"Congo, Rep.",COG,2013,3.440705249
Colombia,COL,2013,4.67803348
Comoros,COM,2013,3.499999994
Cabo Verde,CPV,2013,0.536583943
Costa Rica,CRI,2013,3.497287451
Caribbean small states,CSS,2013,1.502991533
Cuba,CUB,2013,
Curacao,CUW,2013,
Cayman Islands,CYM,2013,
Cyprus,CYP,2013,-5.4
Czech Republic,CZE,2013,-0.70165251
Germany,DEU,2013,0.105789496
Djibouti,DJI,2013,4.999907255
Dominica,DMA,2013,-0.912863071
Denmark,DNK,2013,-0.486209584
Dominican Republic,DOM,2013,4.584480634
Algeria,DZA,2013,2.8
East Asia & Pacific (developing only),EAP,2013,7.13444837
East Asia & Pacific (all income levels),EAS,2013,4.20519669
Europe & Central Asia (developing only),ECA,2013,3.740896847
Europe & Central Asia (all income levels),ECS,2013,0.419760316
Ecuador,ECU,2013,4.641572214
"Egypt, Arab Rep.",EGY,2013,2.100920339
Euro area,EMU,2013,-0.464630635
Eritrea,ERI,2013,1.332252085
Spain,ESP,2013,-1.229957974
Estonia,EST,2013,1.630103718
Ethiopia,ETH,2013,10.49043607
European Union,EUU,2013,0.059692136
Fragile and conflict affected situations,FCS,2013,0.76997985
Finland,FIN,2013,-1.205641151
Fiji,FJI,2013,3.470455989
France,FRA,2013,0.285120347
Faeroe Islands,FRO,2013,
"Micronesia, Fed. Sts.",FSM,2013,-4
Gabon,GAB,2013,5.887
United Kingdom,GBR,2013,1.729186449
Georgia,GEO,2013,3.319930795
Ghana,GHA,2013,7.585001485
Guinea,GIN,2013,2.299999238
"Gambia, The",GMB,2013,4.802165004
