country,code,year,gdp.current
Aruba,ABW,2013,
Andorra,AND,2013,
Afghanistan,AFG,2013,20309671015
Angola,AGO,2013,1.24178E+11
Albania,ALB,2013,12923240278
Arab World,ARB,2013,2.85308E+12
United Arab Emirates,ARE,2013,4.0234E+11
Argentina,ARG,2013,6.09889E+11
Armenia,ARM,2013,10432169571
American Samoa,ASM,2013,
Antigua and Barbuda,ATG,2013,1200587519
Australia,AUS,2013,1.56037E+12
Austria,AUT,2013,4.28322E+11
Azerbaijan,AZE,2013,73560484385
Burundi,BDI,2013,2714507031
Belgium,BEL,2013,5.24806E+11
Benin,BEN,2013,8307222087
Burkina Faso,BFA,2013,12884922231
Bangladesh,BGD,2013,1.4999E+11
Bulgaria,BGR,2013,54479873100
Bahrain,BHR,2013,32890110533
"Bahamas, The",BHS,2013,8420000000
Bosnia and Herzegovina,BIH,2013,17851326454
Belarus,BLR,2013,71709513654
Belize,BLZ,2013,1624294250
Bermuda,BMU,2013,
Bolivia,BOL,2013,30601157742
Brazil,BRA,2013,2.24567E+12
Barbados,BRB,2013,
Brunei Darussalam,BRN,2013,16111135789
Bhutan,BTN,2013,1781261413
Botswana,BWA,2013,14784707345
Central African Republic,CAF,2013,1538175744
Canada,CAN,2013,1.82677E+12
Central Europe and the Baltics,CEB,2013,1.41754E+12
Switzerland,CHE,2013,6.85434E+11
Channel Islands,CHI,2013,
Chile,CHL,2013,2.77199E+11
China,CHN,2013,9.24027E+12
Cote d'Ivoire,CIV,2013,31062026533
Cameroon,CMR,2013,29567504655
"Congo, Rep.",COG,2013,14085852120
Colombia,COL,2013,3.78415E+11
Comoros,COM,2013,598925863
Cabo Verde,CPV,2013,1879402554
Costa Rica,CRI,2013,49621089476
Caribbean small states,CSS,2013,67033118185
Cuba,CUB,2013,
Curacao,CUW,2013,
Cayman Islands,CYM,2013,
Cyprus,CYP,2013,21911444503
Czech Republic,CZE,2013,2.08796E+11
Germany,DEU,2013,3.73026E+12
Djibouti,DJI,2013,1456344495
Dominica,DMA,2013,516666666.7
Denmark,DNK,2013,3.35878E+11
Dominican Republic,DOM,2013,61163676805
Algeria,DZA,2013,2.10183E+11
East Asia & Pacific (developing only),EAP,2013,1.14137E+13
East Asia & Pacific (all income levels),EAS,2013,2.04987E+13
Europe & Central Asia (developing only),ECA,2013,2.00115E+12
Europe & Central Asia (all income levels),ECS,2013,2.29202E+13
Ecuador,ECU,2013,94472679000
"Egypt, Arab Rep.",EGY,2013,2.71973E+11
Euro area,EMU,2013,1.3194E+13
Eritrea,ERI,2013,3444097561
Spain,ESP,2013,1.39304E+12
Estonia,EST,2013,24880264958
Ethiopia,ETH,2013,47525186490
European Union,EUU,2013,1.79581E+13
Fragile and conflict affected situations,FCS,2013,7.13499E+11
Finland,FIN,2013,2.67329E+11
Fiji,FJI,2013,3855017107
France,FRA,2013,2.80643E+12
Faeroe Islands,FRO,2013,
"Micronesia, Fed. Sts.",FSM,2013,316245700
Gabon,GAB,2013,19343506599
United Kingdom,GBR,2013,2.67845E+12
Georgia,GEO,2013,16140047012
Ghana,GHA,2013,48137027487
Guinea,GIN,2013,6144131903
